Ref.Sig.R2	Ref.Sig.R4	Ref.Sig.R6a	Ref.Sig.R1	Ref.Sig.R7	Ref.Sig.R5	Ref.Sig.R6b	Ref.Sig.R8	Ref.Sig.R3	Ref.Sig.R9	Ref.Sig.R10	Ref.Sig.R11	Ref.Sig.R12	Ref.Sig.R13	Ref.Sig.R14	Ref.Sig.R15	Ref.Sig.R16	Ref.Sig.R17	Ref.Sig.R18	Ref.Sig.R19	Ref.Sig.R20	unassigned
2698_fuzzy_called_somatic	110.08532726327	0	0	0	0	48.8486513292861	0	0	34.1711046910685	159.29165154546	0	0	0	0	0	0	0	0	0	0	0	29.6032651709156
2711_fuzzy_called_somatic	94.1018078470951	0	0	0	0	0	0	0	28.7925806928449	153.244813470583	0	0	0	0	0	0	0	0	0	0	0	25.8607979894766
2713_fuzzy_called_somatic	40.8414036537198	0	0	0	0	42.9273653877327	0	0	28.2477941322969	142.656046531024	0	0	0	0	0	0	0	0	46.0560284312448	0	0	5.27136186398138
2719_fuzzy_called_somatic	39.6016458963596	0	25.8824684956919	0	0	0	0	0	24.1429771931818	133.905952427888	0	0	0	0	0	0	0	49.9314960929962	0	0	0	14.535459893882
2722_fuzzy_called_somatic	49.0970873575974	0	0	0	0	0	0	13.5374216492829	26.5339746495192	134.020599743379	0	0	0	0	0	0	0	0	0	0	0	23.8109166002218
2724_fuzzy_called_somatic	61.2474043854985	0	0	0	0	43.9793339868001	0	0	19.3153736860089	143.370573466462	0	0	0	0	0	0	0	0	0	0	0	14.0873144752302
2726_fuzzy_called_somatic	87.0694804231952	0	0	0	0	0	0	0	19.15273045075	173.303571591567	0	0	0	0	0	0	0	0	0	17.2135112266716	0	30.2607063078158
2744_fuzzy_called_somatic	71.6519075144456	59.15585010502	0	0	0	22.2418913158144	25.999412667319	25.7655391739377	26.5195686971866	170.220228193838	0	0	0	0	0	0	0	0	28.1315419649316	0	0	7.3140603675073
2756_fuzzy_called_somatic	93.0539349241251	0	28.8229266898687	0	0	0	27.109965406036	0	0	152.698173221279	0	104.504226133689	0	30.6684540539459	34.8136223888415	0	0	0	0	0	0	63.3286971822147
2757_fuzzy_called_somatic	45.5045107268841	0	0	0	0	0	0	0	18.6383318421282	112.438823183957	0	0	0	0	0	0	0	0	0	0	0	10.4183342470308
2759_fuzzy_called_somatic	155.987874784467	0	0	0	0	0	0	22.0292479097022	36.6239732484384	159.848795710346	0	0	0	0	0	0	0	0	0	0	0	55.5101083470464
2766_fuzzy_called_somatic	0	0	0	0	0	0	0	0	316.64038555743	436.943775565328	0	0	0	0	0	0	0	0	53.5123863084719	0	0	63.9034525687701
2789_fuzzy_called_somatic	41.8592681262625	0	0	0	0	189.561736663207	0	0	37.9009315283446	82.6881936211834	0	0	0	0	0	0	0	0	0	0	0	11.9898700610023
2793_fuzzy_called_somatic	178.162354727749	0	0	0	0	0	0	0	29.5460449171516	228.078955980342	0	0	0	0	0	0	0	0	52.0659436672562	0	0	61.1467007075016
2795_fuzzy_called_somatic	100.038652023084	0	0	0	0	0	0	0	46.3788704589538	186.037109543042	0	0	0	0	0	0	0	0	0	0	0	49.5453679749207
2905_fuzzy_called_somatic	54.5936377707563	0	0	0	0	0	0	12.1127684831562	21.9265845723352	134.722938727266	0	0	0	0	0	0	0	0	0	0	0	5.64407044648675
2906_fuzzy_called_somatic	37.2990450211678	0	0	0	0	0	0	0	22.5271072650665	127.730557544089	0	0	0	0	0	0	0	0	0	0	0	11.4432901696771
2907_fuzzy_called_somatic	43.366054828376	0	0	0	0	0	0	0	22.2831819279318	121.993357330288	0	0	0	0	0	0	0	0	0	0	0	1.35740591340414
2965_fuzzy_called_somatic	33.506133640692	0	0	0	0	0	0	0	24.1759619125295	130.072950488974	0	0	0	0	0	0	0	0	0	0	0	6.244953957805
2966_fuzzy_called_somatic	23.0396133942269	0	0	0	0	0	0	0	10.440406321588	117.283778190898	0	0	0	0	0	0	0	0	0	0	0	3.23620209328743
2968_fuzzy_called_somatic	29.2526499496388	0	0	0	0	0	0	0	23.8476375736837	136.26353464513	0	0	0	0	0	0	0	0	0	0	0	5.6361778315478
2969_fuzzy_called_somatic	40.5472376322506	0	0	0	0	0	0	0	15.9712899374561	130.223592355538	0	0	0	0	0	0	0	0	0	0	0	5.25788007475538
2971_fuzzy_called_somatic	16.5816911063118	0	0	0	0	0	0	0	22.9250578639167	119.755998807595	0	0	0	0	0	0	0	0	0	0	0	9.73725222217604
2972_fuzzy_called_somatic	23.0512378069607	0	0	0	0	0	0	10.7929230842565	22.6222603078216	136.533577909191	0	0	0	0	0	0	0	0	0	0	0	8.91770071120845e-07
2973_fuzzy_called_somatic	35.1090668990269	0	0	0	0	0	0	0	25.279945535984	138.208283435324	0	0	0	0	0	0	0	0	0	0	0	10.402704129665
2974_fuzzy_called_somatic	39.535453574231	0	0	0	0	0	0	0	22.5712911279606	140.670198243822	0	0	0	0	0	0	0	0	0	0	0	3.22305705398608
2975_fuzzy_called_somatic	36.0956621522626	0	0	0	0	0	0	0	24.6096536817579	139.461014472008	0	0	0	0	0	0	0	0	0	0	0	4.83366969397179
2978_fuzzy_called_somatic	15.7818347040428	0	0	0	0	0	0	0	16.1729411289657	110.68477824268	0	0	0	0	0	0	0	0	0	0	0	4.36044592431182
2979_fuzzy_called_somatic	29.4140800155175	0	0	0	0	0	0	0	22.6393753225846	143.438999512525	0	0	0	0	0	0	0	0	0	0	0	2.50754514937307
2980_fuzzy_called_somatic	44.5646869605729	0	0	0	0	0	0	0	28.7335643681233	150.039390674675	0	0	0	0	0	0	0	0	0	0	0	2.66235799662917
2982_fuzzy_called_somatic	23.523327292341	0	0	0	0	0	0	0	19.9948963809883	125.808389172359	0	0	0	0	0	0	0	0	0	0	0	10.6733871543118
2984_fuzzy_called_somatic	0	0	0	0	0	0	0	10.2621668455725	19.1382363726791	108.93021881201	0	0	0	0	0	0	0	0	0	0	0	1.66937796973866
2985_fuzzy_called_somatic	26.1261655105912	0	0	0	0	0	0	0	34.5402238783357	129.719517246372	0	0	0	0	0	0	0	0	0	0	0	2.61409336470086
2988_fuzzy_called_somatic	44.5593981549827	0	0	0	0	0	0	0	25.9091987949882	147.26896518949	0	0	0	0	0	0	0	0	0	0	0	15.2624378605391
2991_fuzzy_called_somatic	38.1771314095929	0	0	0	0	0	0	0	14.3071917667272	130.334138969918	0	0	0	0	0	0	0	0	0	0	0	3.18153785376182
2992_fuzzy_called_somatic	38.1373000847895	0	0	0	0	0	0	0	18.9052782878723	127.390283057716	0	0	0	0	0	0	0	0	0	0	0	0.567138569622159
2993_fuzzy_called_somatic	30.191436676709	0	0	0	0	0	0	0	11.4825260270428	133.587064396825	0	0	0	0	0	0	0	0	0	0	0	7.7389728994234
2994_fuzzy_called_somatic	37.0240710917799	0	0	0	0	0	0	0	15.8533112608612	128.122617200636	0	0	0	0	0	0	0	0	0	0	0	4.46723248614944e-07
2995_fuzzy_called_somatic	28.9865001253751	0	0	0	0	0	0	10.8472524217673	22.614751284878	117.046971250504	0	0	0	0	0	0	0	0	0	0	0	3.50452491747586
2996_fuzzy_called_somatic	48.9019403994168	0	0	0	0	0	0	0	20.2820927243313	152.212051305679	0	0	0	0	0	0	0	0	0	0	0	5.60391557057281
2997_fuzzy_called_somatic	22.4187027550639	0	0	0	0	0	0	11.1348662211733	16.4756440527367	130.732151125399	0	0	0	0	0	0	0	0	0	0	0	0.238635845627101
